tile,regime,n,rmse_raw,rmse_corr,delta_pct
S35W071,mediterranean,7916,3.7641391923365197,2.9142536862516377,-22.57848242740809
S35W072,mediterranean,25038,2.3900848293136425,1.9758712132215448,-17.330498525068958
S36W071,mediterranean,1987,2.5843253940482613,2.8627797383471916,10.774740090400947
S36W072,mediterranean,25645,3.0172769354650097,2.4513577043952126,-18.755959203412665
S37W071,mediterranean,2449,2.448540570791666,2.3208441184845694,-5.215206716620156
S37W072,mediterranean,14466,3.774691174839307,2.9899789816217464,-20.788778654215776
S38W072,humid_temperate,4055,5.430794417488248,4.487474949976713,-17.36982465169105
S38W073,humid_temperate,28177,5.0322309349856,3.787391345438042,-24.737330333809897
S39W072,humid_temperate,3735,6.9622994722196205,4.929974909859776,-29.190421504691873
S39W073,humid_temperate,21882,4.2805851274044935,3.581798194794025,-16.32456572669946
N10E105,tropical_wet,20569,1.0908701148921982,1.1540385717205215,5.7906487643183535
S24W069,hyperarid,20681,0.6045270801271129,0.933791785083122,54.46649385611893
N04W074,tropical_montane,4005,3.5104737221279643,2.7541761082763587,-21.544032905996406
S01W079,tropical_montane,68,7.16840383913789,6.629310370361322,-7.520411529178052
S13W072,tropical_montane,147,11.853856744399467,10.76551108920156,-9.181363320525298
S16W068,tropical_montane,1088,10.966833233354189,10.308230399078376,-6.0054057562647944
